ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
Acer Nitro 5 AN515-57-536Q Core i5 11400H GTX 1650,12300000.0,Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),1.0,15.95,Intel Core i5,8.0,NVIDIA,256.0,,Tp Hồ Chí Minh,4.7,31.0
Msi gaming GE62 i7 vga GTX,7900000.0,MSI,GE Series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,16.0,NVIDIA,256.0,,Tp Hồ Chí Minh,5.0,29.0
MacPro 13” 2017 có Touch Bar i7/16g/1T,11500000.0,Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i7,16.0,Onboard,1000.0,,Tp Hồ Chí Minh,5.0,3.0
"Dell3578 i5gen8,ram 8g,ssd 128g, 15 6fhd, card rời",6500000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,8.0,AMD,128.0,,Tp Hồ Chí Minh,5.0,12.0
Laptop Thinkpad X260 hàng US cấu hình khủng i7 FHD,3900000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),4.0,11.95,Intel Core i7,8.0,,512.0,Mỹ,Hà Nội,3.0,2.0
Dell XPS 7590 i7-9750H 16G 512G 4K OLED Siêu NÉT,19500000.0,Dell,Precision,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i7,16.0,Onboard,256.0,,Tp Hồ Chí Minh,4.8,28.0
MACBOOK AIR SANG CHẢNH core i5,6000000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Đà Nẵng,4.8,5.0
Lenovo thinkpad T440p- i5 4300M/ 8G/240G/14inch/WC,4700000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,250.0,,Tp Hồ Chí Minh,4.7,26.0
"Panasonic XZ6-7VS, i5, gen 7, 8/256, 2K, sim 4g",5300000.0,Panasonic,CF,Đã sử dụng (chưa sửa chữa),,11.95,Intel Core i5,8.0,Khác,256.0,Nhật Bản,Tp Hồ Chí Minh,5.0,1.0
"ACER ASPIRE 4738 full chức năng i3-380M, ram 4gb",1400000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i3,4.0,Onboard,500.0,,Tp Hồ Chí Minh,,
Macbook Air 2014 Core i5 máy đẹp giá rẻ,4999999.0,Apple,Macbook Air,Mới,3.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Hà Nội,5.0,11.0
dell inspiron 5425 ryzen 5 16gb 512 màn cảm ứng,11500000.0,Dell,Inspiron,Mới,4.0,13.95,Ryzen 5,16.0,AMD,512.0,,Hà Nội,,
Lenovo ThinkPad T490 (Gen8) | I5/8/512/FHD,8500000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,512.0,,Tp Hồ Chí Minh,5.0,21.0
Dell 5758,8900000.0,Dell,Vostro,Đã sử dụng (chưa sửa chữa),0.0,17.95,Intel Core i5,8.0,NVIDIA,128.0,,Tp Hồ Chí Minh,,
𝐋𝐚𝐩𝐭𝐨𝐩 𝐀𝐒𝐔𝐒 𝐆𝐀𝐌𝐈𝐍𝐆 𝐅𝐗– 𝐕𝐆𝐀 Rời 𝐍𝐕𝐈𝐃𝐈𝐀 𝐆𝐓𝐗𝟏𝟎𝟓𝟎 𝟒𝐆𝐁,8900000.0,Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,8.0,NVIDIA,250.0,,Tp Hồ Chí Minh,4.8,17.0
🔥 DELL VOSTRO 15 5510 MÁY ĐẸP i7 CHIP H,14500000.0,Dell,Vostro,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i7,16.0,Onboard,512.0,,Gia Lai,4.8,4.0
Dell E6430 i7/8g/256g ssd,2800000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i7,8.0,NVIDIA,256.0,,Tp Hồ Chí Minh,0.0,
Dell latitude 5290 i3 8130u/8g/256g,3600000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),0.0,11.95,Intel Core i3,8.0,Onboard,256.0,,Tp Hồ Chí Minh,3.4,3.0
Laptop dell,5500000.0,Dell,Latitude,Mới,4.0,13.95,Intel Core i5,8.0,,256.0,,Hà Nội,2.7,2.0
"Macbook pro M2 like new 99,9%",33900000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),4.0,13.95,,16.0,,512.0,,Tp Hồ Chí Minh,5.0,1.0
HP ENVY x360 15m-bp112dx i7 8550U 15.6 FHD Cảm ứng,10990000.0,HP,Envy,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.9,24.0
hp 450 g2 i5 6gb ssd intel 180 bh 3 tháng 1 đổi 1,3800000.0,HP,ProBook,Đã sử dụng (chưa sửa chữa),3.0,15.95,Intel Core i5,6.0,Onboard,128.0,,Bến Tre,,
Macbook Pro 16in 2019: i7/16/512/ Vga 4G. Máy đẹp,25500000.0,Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),,,Intel Core i7,16.0,AMD,512.0,,Đà Nẵng,5.0,1.0
máy tính Lenovo yoga 710 hư cpu,1500000.0,Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),,11.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,3.0,2.0
"ASUS X407U Core i7-8550U, Card rời. Zin-Đẹp 98%",7490000.0,Asus,X series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i7,4.0,NVIDIA,64.0,,Cần Thơ,4.6,22.0
Bán gấp máy Macbook Pro 2019 16 inch,21500000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,16.0,Khác,512.0,,Đà Nẵng,,
Thanh lý Laptop Asus i5 8300 + 1050ti 4G,9900000.0,Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),5.0,15.95,Intel Core i5,8.0,NVIDIA,64.0,,Hà Nội,5.0,2.0
dell xps màn cảm ứng đẹp keng,6500000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i7,8.0,,256.0,,Tp Hồ Chí Minh,4.8,17.0
Lenovo thinpad T420 i5 gen 2,1650000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,4.0,NVIDIA,320.0,,Tp Hồ Chí Minh,3.0,11.0
cần pass lại Hp 840G1 i5-4300,2850000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,8.0,Onboard,128.0,,Hà Nội,,
LAP TOP HP Zbook 17 G2,9000000.0,Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,17.95,Intel Core i7,32.0,NVIDIA,256.0,,Tp Hồ Chí Minh,,
"Laptop Tohsiba I5 học tập, giải trí ngon",1500000.0,Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,4.0,Onboard,500.0,,Đồng Nai,,
ASUS TeK I5-M480 RAM4G-SSD 128G NEW 99%,2400000.0,Asus,K series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,4.0,AMD,128.0,,Tp Hồ Chí Minh,,
Dell Inspiron 15 3000 2022,16500000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,8.0,Khác,250.0,,Phú Yên,,
Dell latitude E7240 I5 4310U Ram 8 SSD 128G BH 3T,3500000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),3.0,11.95,Intel Core i5,8.0,Onboard,128.0,,Tp Hồ Chí Minh,0.0,
macbook pro 2015 i5/16/512g đẹp keng version big,9500000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,16.0,Onboard,512.0,,Đà Nẵng,4.5,26.0
Surface Pro 7 i5 ram 16G ssd 256-13.5tr,13499000.0,Microsoft,Surface Pro 7,Đã sử dụng (chưa sửa chữa),3.0,11.95,Intel Core i5,16.0,Onboard,256.0,,Hà Nội,4.9,5.0
HP Probook 430 G3_Core I5 nhỏ gọn,4900000.0,HP,ProBook,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Bình Dương,4.8,10.0
Dell latitude 7310 i7-10610U,12800000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),4.0,,Intel Core i7,16.0,,256.0,,Hà Nội,5.0,3.0
"Dell mini chip Pentium/ram 4G/ssd 128G, nhỏ gọn",2500000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,11.95,Intel Pentium,4.0,,128.0,,Tp Hồ Chí Minh,4.4,11.0
Bán asus x552c.,4500000.0,Asus,X series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,4.0,NVIDIA,500.0,,Bến Tre,5.0,1.0
Acer Nitro 5 i5-11400H 16G 512G GTX1650 144HZ,15500000.0,Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,16.0,NVIDIA,512.0,,Tp Hồ Chí Minh,5.0,13.0
cần bán dell latitude5290 i3 8100 ram8g ssd128,3000000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),0.0,11.95,Intel Core i3,8.0,Onboard,128.0,,Tp Hồ Chí Minh,5.0,2.0
Macbook Pro Touch Bar 2017 core i7,11000000.0,Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),0.0,19.95,Intel Core i7,16.0,NVIDIA,256.0,,Tp Hồ Chí Minh,3.4,68.0
Dell Latitude E6410 i5 ZIN USA BH dài +Cặp,2300000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,4.0,Onboard,250.0,,Hà Nội,4.9,39.0
HỌC SINH SINH VIÊN CẦN CHÚ Ý MẪU LAPTOP DELL 3301,7500000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,NVIDIA,256.0,,Hà Nội,4.9,11.0
Dell xps 9350 i7 6560u .8g.ssd 256g. 13”3 touch 3k,9500000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i7,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,6.0
Cần bán con laptop dell i5 Th5,2650000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,250.0,Trung Quốc,Thừa Thiên Huế,,
"asus Zbook Bx310u vỏ hơn kim, mỏng đẹp keng",6000000.0,Asus,Zenbook Series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Hà Nội,4.7,7.0
Laptop acer aspire i5 thế hệ 10 ssd 256,9490000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,16.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,1.0
Mừng lễ bán ThinkPad A485,8500000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),0.0,13.95,Ryzen 5,16.0,AMD,1000.0,,Bình Dương,4.5,6.0
cần bán laptop,3800000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i3,4.0,Onboard,128.0,,Thái Bình,5.0,3.0
CẦN BÁN LAPTOP THNKPAD 13 CORE I5 7200,4500000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,,256.0,,Bình Dương,5.0,2.0
MACBOOK PRO 16 INCH M1 2021 MK183 (16G/ 512G) Gray,35900000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),5.0,15.95,Khác,16.0,Khác,512.0,,Đà Nẵng,4.8,22.0
