ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
Lenovo Legion 5-15ARH7 6800H FHD 165Hz NewFullbox,23700000.0,Lenovo,Legion Y Series,Mới,9.0,15.95,Ryzen 7,8.0,NVIDIA,512.0,,Tp Hồ Chí Minh,5.0,23.0
cần tiền bán laptop ạ,4000000.0,Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,4.0,Onboard,1500.0,,Tp Hồ Chí Minh,,
Thanh lý Dell Latitude 3400,5500000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,16.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,1.0
Hp Elitebook 1040 g3 I7 6600U,6000000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i7,16.0,Onboard,256.0,,Đồng Nai,2.0,1.0
Laptop giá rẻ xem phim nghe nhạc,1600000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,4.0,Onboard,128.0,,Tp Hồ Chí Minh,5.0,1.0
"Laptop Asus X (Core i3, Văn phòng giải trí)",2650000.0,Asus,U series,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i3,4.0,Onboard,500.0,Việt Nam,Kiên Giang,4.0,36.0
Dell 7778 Core i7 màn 17-Inch FHD Cảm ứng gập 360,10990000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,17.95,Intel Core i7,16.0,NVIDIA,256.0,,Tp Hồ Chí Minh,4.9,24.0
MSI Gaming Pulse GL66 i7-11800H 16G/512G/RTX3050Ti,20900000.0,MSI,GL Series,Đã sử dụng (chưa sửa chữa),9.0,15.95,Intel Core i7,16.0,NVIDIA,512.0,Việt Nam,Cần Thơ,4.6,74.0
Macbook Air 2015,4800000.0,Apple,Macbook Air,Đã sử dụng (qua sửa chữa),0.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Nghệ An,,
Laptop HP 745 G4,3500000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),0.0,13.95,AMD,8.0,AMD,256.0,,Nghệ An,,
MacBook Air 2020,10000000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,8.0,,128.0,,Tp Hồ Chí Minh,5.0,2.0
Acer Nitro5 AN515-58 i5-12500H 8/512G/3050-Xài 3h,19500000.0,Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,8.0,NVIDIA,512.0,Việt Nam,Cần Thơ,4.6,74.0
HP Victus 16 chính hãng R 5 1650 còn bảo hành,11900000.0,HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),,15.95,Ryzen 5,8.0,NVIDIA,512.0,,Hà Nội,4.4,15.0
GIẢM GIÁ ĐẶC BIỆT HỌC SINH SINH VIÊN MAC PRO 2015,6990000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,NVIDIA,128.0,,Hà Nội,4.9,11.0
Laptop Dell 5290 i5 7300 ram 8G ssd 256G,4100000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1.0,11.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,5.0,6.0
LEGION 5 PRO SLIM 7 ACER NITRO 5 ROG ZENPHYRUS,17800000.0,Lenovo,Legion Y Series,Mới,4.0,15.95,Ryzen 7,16.0,NVIDIA,512.0,Mỹ,Hà Nội,5.0,4.0
Surface pro 5 i5/8/256 new 98% góp 0% zin all,5500000.0,Microsoft,Surface Pro 5,Đã sử dụng (chưa sửa chữa),0.0,9.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.4,44.0
"MacBook Pro 14"" 2021 M1Pro Option SSD 1TB LikeNew",37500000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),4.0,13.95,Khác,16.0,Onboard,1000.0,,Tp Hồ Chí Minh,5.0,17.0
cần tiền bán laptop ạ,4000000.0,Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,4.0,Onboard,1500.0,,Tp Hồ Chí Minh,,
Thanh lý Dell Latitude 3400,5500000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,16.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,1.0
Hp Elitebook 1040 g3 I7 6600U,6000000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i7,16.0,Onboard,256.0,,Đồng Nai,2.0,1.0
Laptop giá rẻ xem phim nghe nhạc,1600000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,4.0,Onboard,128.0,,Tp Hồ Chí Minh,5.0,1.0
"Laptop Asus X (Core i3, Văn phòng giải trí)",2650000.0,Asus,U series,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i3,4.0,Onboard,500.0,Việt Nam,Kiên Giang,4.0,36.0
Dell 7778 Core i7 màn 17-Inch FHD Cảm ứng gập 360,10990000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,17.95,Intel Core i7,16.0,NVIDIA,256.0,,Tp Hồ Chí Minh,4.9,24.0
MSI Gaming Pulse GL66 i7-11800H 16G/512G/RTX3050Ti,20900000.0,MSI,GL Series,Đã sử dụng (chưa sửa chữa),9.0,15.95,Intel Core i7,16.0,NVIDIA,512.0,Việt Nam,Cần Thơ,4.6,74.0
Macbook Air 2015,4800000.0,Apple,Macbook Air,Đã sử dụng (qua sửa chữa),0.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Nghệ An,,
Laptop HP 745 G4,3500000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),0.0,13.95,AMD,8.0,AMD,256.0,,Nghệ An,,
MacBook Air 2020,10000000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,8.0,,128.0,,Tp Hồ Chí Minh,5.0,2.0
Acer Nitro5 AN515-58 i5-12500H 8/512G/3050-Xài 3h,19500000.0,Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,8.0,NVIDIA,512.0,Việt Nam,Cần Thơ,4.6,74.0
HP Victus 16 chính hãng R 5 1650 còn bảo hành,11900000.0,HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),,15.95,Ryzen 5,8.0,NVIDIA,512.0,,Hà Nội,4.4,15.0
VAIO VJS I5-6200U RAM 8G SSD 256G FULL BOX NEW 99%,5900000.0,Sony,S Series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,Onboard,256.0,Nhật Bản,Tp Hồ Chí Minh,4.8,23.0
Tablet 2 trong 1 sony svd13 i5 fullbox zin 100%,4900000.0,Sony,S Series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Tp Hồ Chí Minh,4.8,23.0
"Dell inspiron 15 7000 gaming 15,6 inch MAX Option",13000000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,16.0,NVIDIA,1000.0,,Tp Hồ Chí Minh,5.0,7.0
𝐃𝐄𝐋𝐋 𝟑𝟑𝟖𝟎 - 𝗧𝗛𝗘̂́ 𝗛𝗘̣̂ 𝟲/𝐒𝐒𝐃/𝟏𝟑.𝟑𝐈𝐍/𝐆𝐎̣𝐍 𝐍𝐇𝐄̣-𝟵𝟵%🆕,3800000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i3,4.0,Onboard,128.0,,Tp Hồ Chí Minh,4.8,32.0
Thanh lý laptop i5-4200U Ram 8Gb vừa nâng cấp Ssd,2700000.0,Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),1.0,15.95,Intel Core i5,8.0,Onboard,128.0,,Hà Nội,5.0,3.0
Lenovo ThinkPad T440p,3000000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Khác,128.0,,Tuyên Quang,4.0,1.0
bán nhanh em laptop gamming đồ hoạ siêu mượt,9990000.0,MSI,GF Series,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,8.0,NVIDIA,512.0,,Đà Nẵng,5.0,3.0
GigaByte Gaming G5 i5-10500H 16G/512G/ 6GB-RTX3060,16500000.0,Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,16.0,NVIDIA,512.0,,Cần Thơ,4.6,74.0
Lenovo ideapad 5 AMD Ryzen 5 4500U/ 8GB/ 256GB/FHD,8890000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),3.0,15.95,Ryzen 5,8.0,AMD,256.0,,Tp Hồ Chí Minh,4.4,7.0
Mac Air m1 Ram 16G SSD 256G Pin 99% máy đẹp keng,20500000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),3.0,13.95,Khác,16.0,Khác,256.0,,Hà Nội,4.5,24.0
Macbook Air 2019 13 inch hồng đẹp keng i5/8/256,11800000.0,Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,4.9,19.0
Laptop HP Probook - I5/ RAM 16G/ SSD 512/ Pin 100%,3990000.0,HP,ProBook,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,16.0,Onboard,512.0,,Tp Hồ Chí Minh,4.9,36.0
acer A514-54,7250000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,512.0,,Hà Nội,4.8,19.0
MSI 14-B11MOL-420VN-i3-1115G4-8Gb-256Gb-FULL BOX,8990000.0,MSI,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i3,8.0,Onboard,256.0,,Cần Thơ,4.6,74.0
dell 2420,1850000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,4.0,Onboard,128.0,,Hà Nội,4.8,19.0
Lenovo ideapad gaming 3 R5 3050 bhh dài,13500000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,15.95,Ryzen 5,8.0,NVIDIA,512.0,,Hà Nội,4.4,15.0
Laptop Hp 15 tình trạng 99%,4900000.0,HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Celeron,4.0,Onboard,128.0,Trung Quốc,Tp Hồ Chí Minh,,
Acer Aspire 3 A315-57G i5-1035G1 8/512GB/2G-MX330,9200000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,8.0,NVIDIA,512.0,,Cần Thơ,4.6,74.0
hp 440g4,3550000.0,HP,ProBook,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,4.8,19.0
MSI MODERN 14-B11MOU i7-1195G7 8G/512G Full Box,14400000.0,MSI,Dòng Khác,Mới,4.0,13.95,Intel Core i7,8.0,Onboard,512.0,,Cần Thơ,4.6,74.0
Asus Vivobook Flip 14 i5-1135G7 X360 còn bh hãng,9800000.0,Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),7.0,13.95,Intel Core i5,8.0,Onboard,512.0,,Hà Nội,4.4,15.0
Hàng FPT Laptop HP Pavilion 15-eg2083TU Newseal,13400000.0,HP,Pavilion,Mới,7.0,15.95,Intel Core i5,8.0,,512.0,,Tp Hồ Chí Minh,4.6,9.0
Thinkpad x1 carbon Gen5 i5 7200 Ram 8 Ssd 256 new,5900000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,11.0
Dell 3400 i5-8265U ram8 ssd512,5100000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,8.0,Onboard,512.0,,Hà Nội,4.0,2.0
asus X507U,4200000.0,Asus,X series,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i3,4.0,Khác,64.0,,Cần Thơ,5.0,10.0
